Time (s),Heart Rate (BPM),Frame Rate (FPS)
6.03,99.2,35.14
7.22,103.3,35.14
9.37,106.3,35.14
10.55,93.0,35.14
11.79,96.5,35.14
12.98,86.8,35.14
14.22,90.2,35.14
15.41,93.0,35.14
16.64,66.8,35.14
17.83,70.9,35.14
19.06,90.9,35.14
20.24,69.8,35.14
21.47,65.7,35.14
22.65,89.6,35.14
23.88,65.3,35.14
25.08,86.8,35.14
26.31,84.1,35.14
27.49,84.1,35.14
28.72,84.1,35.14
29.90,84.1,35.14
31.15,84.1,35.14
32.35,84.1,35.14
33.58,84.1,35.14
34.77,84.1,35.14
36.01,84.1,35.14
37.21,90.1,35.14
38.45,90.1,35.14
39.64,102.1,35.14
40.88,102.1,35.14
42.08,102.1,35.14
43.31,102.1,35.14
44.50,78.1,35.14
45.74,78.1,35.14
46.92,72.1,35.14
48.16,72.1,35.14
49.35,66.1,35.14
50.59,66.1,35.14
51.78,66.1,35.14
53.02,66.1,35.14
54.21,66.1,35.14
55.47,54.1,35.14
56.66,54.1,35.14
57.90,90.1,35.14
59.09,90.1,35.14
60.33,90.1,35.14
61.52,90.1,35.14
62.77,90.1,35.14
63.96,90.1,35.14
65.19,90.1,35.14
66.37,90.1,35.14
67.60,90.1,35.14
68.77,66.1,35.14
69.97,78.1,35.14
71.13,78.1,35.14
72.33,78.1,35.14
73.50,78.1,35.14
74.70,78.1,35.14
75.86,78.1,35.14
77.07,78.1,35.14
78.24,78.1,35.14
79.44,78.1,35.14
80.60,78.1,35.14
81.80,78.1,35.14
82.96,78.1,35.14
84.15,114.1,35.14
85.31,84.1,35.14
86.51,84.1,35.14
87.66,84.1,35.14
88.86,84.1,35.14
90.01,84.1,35.14
91.21,90.1,35.14
92.37,90.1,35.14
93.58,90.1,35.14
94.76,90.1,35.14
95.98,90.1,35.14
97.16,84.1,35.14
98.39,84.1,35.14
99.58,84.1,35.14
100.81,60.1,35.14
101.99,66.1,35.14
103.24,66.1,35.14
104.43,66.1,35.14
105.66,66.1,35.14
106.84,72.1,35.14
108.06,72.1,35.14
109.24,72.1,35.14
110.46,72.1,35.14
111.64,90.1,35.14
112.87,90.1,35.14
114.05,90.1,35.14
115.28,90.1,35.14
116.46,90.1,35.14
117.69,90.1,35.14
118.87,90.1,35.14
120.11,90.1,35.14
121.53,90.1,35.14
122.79,90.1,35.14
124.01,90.1,35.14
125.24,90.1,35.14
126.44,90.1,35.14
127.66,90.1,35.14
128.83,84.1,35.14
130.06,138.1,35.14
131.24,138.1,35.14
132.47,138.1,35.14
133.65,138.1,35.14
134.88,138.1,35.14
136.06,132.1,35.14
137.30,132.1,35.14
138.48,132.1,35.14
139.70,132.1,35.14
140.88,132.1,35.14
142.10,78.1,35.14
143.27,78.1,35.14
144.47,78.1,35.14
145.63,90.1,35.14
146.84,90.1,35.14
148.01,54.1,35.14
149.22,54.1,35.14
150.39,54.1,35.14
151.64,72.1,35.14
152.82,72.1,35.14
154.04,72.1,35.14
155.22,72.1,35.14
156.43,72.1,35.14
157.61,72.1,35.14
158.84,72.1,35.14
160.01,72.1,35.14
161.22,72.1,35.14
162.40,72.1,35.14
163.61,72.1,35.14
164.78,72.1,35.14
166.00,72.1,35.14
167.16,72.1,35.14
168.38,90.1,35.14
169.55,90.1,35.14
170.77,90.1,35.14
171.95,90.1,35.14
173.17,90.1,35.14
174.34,90.1,35.14
175.57,90.1,35.14
176.75,90.1,35.14
177.97,90.1,35.14
179.15,90.1,35.14
180.37,90.1,35.14
181.55,90.1,35.14
182.77,90.1,35.14
183.94,90.1,35.14
185.15,84.1,35.14
186.33,84.1,35.14
187.56,84.1,35.14
188.74,84.1,35.14
189.96,90.1,35.14
191.13,90.1,35.14
192.35,90.1,35.14
193.53,90.1,35.14
194.77,90.1,35.14
195.94,90.1,35.14
197.16,90.1,35.14
198.34,90.1,35.14
199.57,84.1,35.14
200.75,84.1,35.14
201.96,84.1,35.14
203.13,84.1,35.14
204.34,114.1,35.14
205.50,132.1,35.14
206.73,132.1,35.14
207.90,132.1,35.14
209.11,132.1,35.14
210.28,108.1,35.14
211.50,108.1,35.14
212.67,108.1,35.14
213.89,138.1,35.14
215.06,138.1,35.14
216.28,138.1,35.14
217.45,138.1,35.14
218.66,138.1,35.14
219.83,138.1,35.14
221.05,84.1,35.14
222.22,84.1,35.14
223.43,84.1,35.14
224.60,84.1,35.14
225.80,84.1,35.14
226.97,84.1,35.14
228.18,84.1,35.14
229.35,84.1,35.14
230.56,84.1,35.14
231.73,84.1,35.14
232.95,84.1,35.14
234.13,84.1,35.14
235.36,84.1,35.14
236.54,84.1,35.14
237.76,84.1,35.14
238.94,84.1,35.14
240.16,84.1,35.14
241.34,78.1,35.14
242.58,78.1,35.14
243.75,78.1,35.14
244.96,78.1,35.14
246.13,78.1,35.14
247.35,78.1,35.14
248.54,78.1,35.14
249.77,78.1,35.14
250.94,78.1,35.14
252.16,78.1,35.14
253.34,78.1,35.14
254.55,78.1,35.14
255.73,78.1,35.14
256.96,78.1,35.14
258.14,84.1,35.14
259.37,84.1,35.14
260.55,84.1,35.14
261.77,84.1,35.14
262.94,84.1,35.14
264.15,84.1,35.14
265.32,84.1,35.14
266.53,84.1,35.14
267.70,84.1,35.14
268.93,84.1,35.14
270.11,84.1,35.14
271.35,84.1,35.14
272.54,84.1,35.14
273.78,84.1,35.14
275.03,84.1,35.14
276.28,84.1,35.14
277.47,84.1,35.14
278.71,90.1,35.14
279.90,90.1,35.14
281.12,90.1,35.14
