Time (s),Heart Rate (BPM),Frame Rate (FPS)
6.01,74.4,35.14
7.20,82.7,35.14
8.63,88.6,35.14
9.82,93.0,35.14
11.06,96.5,35.14
12.24,99.2,35.14
13.47,101.5,35.14
14.66,103.3,35.14
15.89,95.4,35.14
17.08,97.4,35.14
18.30,57.9,35.14
19.49,100.8,35.14
20.72,58.4,35.14
21.90,55.1,35.14
23.13,58.7,35.14
24.31,55.8,35.14
25.54,60.1,35.14
26.73,60.1,35.14
27.95,84.1,35.14
29.14,84.1,35.14
30.38,84.1,35.14
31.57,84.1,35.14
32.79,84.1,35.14
33.98,84.1,35.14
35.21,84.1,35.14
36.41,84.1,35.14
37.65,84.1,35.14
38.84,84.1,35.14
40.08,84.1,35.14
41.27,84.1,35.14
42.51,84.1,35.14
43.70,84.1,35.14
44.93,84.1,35.14
46.12,84.1,35.14
47.35,84.1,35.14
48.54,84.1,35.14
49.78,84.1,35.14
50.97,60.1,35.14
52.22,54.1,35.14
53.41,54.1,35.14
54.64,54.1,35.14
55.83,54.1,35.14
57.06,54.1,35.14
58.26,54.1,35.14
59.51,90.1,35.14
60.71,90.1,35.14
61.96,90.1,35.14
63.16,90.1,35.14
64.40,90.1,35.14
65.58,96.1,35.14
66.81,60.1,35.14
67.98,60.1,35.14
69.18,60.1,35.14
70.34,60.1,35.14
71.53,60.1,35.14
72.70,60.1,35.14
73.89,60.1,35.14
75.05,60.1,35.14
76.25,60.1,35.14
77.41,60.1,35.14
78.61,60.1,35.14
79.78,60.1,35.14
80.98,60.1,35.14
82.14,60.1,35.14
83.34,60.1,35.14
84.50,60.1,35.14
85.70,96.1,35.14
86.85,96.1,35.14
88.07,96.1,35.14
89.22,96.1,35.14
90.42,96.1,35.14
91.57,96.1,35.14
92.77,96.1,35.14
93.93,60.1,35.14
95.15,60.1,35.14
96.32,54.1,35.14
97.54,54.1,35.14
98.72,72.1,35.14
99.94,72.1,35.14
101.12,72.1,35.14
102.37,72.1,35.14
103.55,72.1,35.14
104.77,72.1,35.14
105.95,72.1,35.14
107.17,72.1,35.14
108.34,72.1,35.14
109.56,90.1,35.14
110.74,90.1,35.14
111.95,90.1,35.14
113.13,90.1,35.14
114.35,90.1,35.14
115.52,90.1,35.14
116.74,90.1,35.14
117.93,144.2,35.14
119.16,144.2,35.14
120.34,84.1,35.14
121.57,84.1,35.14
122.75,84.1,35.14
123.97,84.1,35.14
125.15,84.1,35.14
126.36,84.1,35.14
127.53,84.1,35.14
128.74,84.1,35.14
130.02,84.1,35.14
131.32,84.1,35.14
132.54,84.1,35.14
133.78,84.1,35.14
134.99,108.1,35.14
136.25,54.1,35.14
144.50,54.1,35.14
145.78,54.1,35.14
146.99,54.1,35.14
148.22,60.1,35.14
149.39,60.1,35.14
150.61,90.1,35.14
151.77,90.1,35.14
152.98,90.1,35.14
154.16,90.1,35.14
155.40,90.1,35.14
156.57,90.1,35.14
157.78,54.1,35.14
158.95,54.1,35.14
160.16,54.1,35.14
161.34,54.1,35.14
162.55,54.1,35.14
163.72,54.1,35.14
164.94,54.1,35.14
166.12,54.1,35.14
167.34,54.1,35.14
168.52,54.1,35.14
169.75,54.1,35.14
170.92,54.1,35.14
172.15,54.1,35.14
173.33,54.1,35.14
174.55,54.1,35.14
175.72,54.1,35.14
176.94,54.1,35.14
178.11,150.2,35.14
179.33,150.2,35.14
180.50,84.1,35.14
181.72,90.1,35.14
182.89,90.1,35.14
184.12,90.1,35.14
185.29,90.1,35.14
186.51,90.1,35.14
187.69,90.1,35.14
188.91,90.1,35.14
190.10,90.1,35.14
191.31,90.1,35.14
192.49,84.1,35.14
193.70,72.1,35.14
194.88,72.1,35.14
196.10,90.1,35.14
197.27,90.1,35.14
198.49,90.1,35.14
199.66,90.1,35.14
200.90,90.1,35.14
202.07,90.1,35.14
203.29,78.1,35.14
204.47,78.1,35.14
205.69,78.1,35.14
206.87,78.1,35.14
208.09,78.1,35.14
209.27,84.1,35.14
210.49,84.1,35.14
211.66,84.1,35.14
212.87,84.1,35.14
214.04,54.1,35.14
215.25,54.1,35.14
216.42,54.1,35.14
217.62,54.1,35.14
218.79,54.1,35.14
220.00,54.1,35.14
221.17,54.1,35.14
222.38,54.1,35.14
223.55,54.1,35.14
224.76,54.1,35.14
225.94,54.1,35.14
227.15,54.1,35.14
228.33,96.1,35.14
229.54,96.1,35.14
230.72,96.1,35.14
231.93,84.1,35.14
233.11,84.1,35.14
234.32,84.1,35.14
235.50,84.1,35.14
236.71,84.1,35.14
237.88,84.1,35.14
239.09,84.1,35.14
240.26,84.1,35.14
241.47,84.1,35.14
242.64,84.1,35.14
243.86,84.1,35.14
245.04,84.1,35.14
246.26,84.1,35.14
247.44,66.1,35.14
248.68,60.1,35.14
249.87,60.1,35.14
251.09,60.1,35.14
252.26,60.1,35.14
253.48,60.1,35.14
254.65,60.1,35.14
255.87,78.1,35.14
257.04,78.1,35.14
258.26,78.1,35.14
259.43,78.1,35.14
260.65,78.1,35.14
261.82,78.1,35.14
263.04,78.1,35.14
264.21,78.1,35.14
265.44,132.1,35.14
266.62,132.1,35.14
267.84,132.1,35.14
269.02,60.1,35.14
270.24,60.1,35.14
271.42,60.1,35.14
272.63,90.1,35.14
273.80,90.1,35.14
275.02,90.1,35.14
276.21,90.1,35.14
277.45,84.1,35.14
278.63,84.1,35.14
279.86,84.1,35.14
281.05,84.1,35.14
282.28,84.1,35.14
283.50,84.1,35.14
284.75,78.1,35.14
285.95,78.1,35.14
287.18,78.1,35.14
288.36,54.1,35.14
289.59,54.1,35.14
290.77,54.1,35.14
291.99,54.1,35.14
293.16,54.1,35.14
294.39,90.1,35.14
295.57,84.1,35.14
296.80,84.1,35.14
297.98,84.1,35.14
299.24,78.1,35.14
300.43,78.1,35.14
301.66,114.1,35.14
302.82,114.1,35.14
304.04,114.1,35.14
305.22,114.1,35.14
306.45,108.1,35.14
307.63,108.1,35.14
308.85,108.1,35.14
310.04,108.1,35.14
312.50,60.1,35.14
313.74,60.1,35.14
314.97,90.1,35.14
316.18,90.1,35.14
317.41,90.1,35.14
318.60,90.1,35.14
319.83,90.1,35.14
321.02,90.1,35.14
322.24,90.1,35.14
323.41,90.1,35.14
324.64,90.1,35.14
325.85,90.1,35.14
327.08,90.1,35.14
328.27,90.1,35.14
329.50,66.1,35.14
330.68,72.1,35.14
331.92,72.1,35.14
333.11,72.1,35.14
334.36,72.1,35.14
335.54,72.1,35.14
336.77,72.1,35.14
337.96,72.1,35.14
339.20,66.1,35.14
340.42,66.1,35.14
341.66,66.1,35.14
342.84,54.1,35.14
344.06,60.1,35.14
