Time (s),Heart Rate (BPM),Frame Rate (FPS)
7.26,105.4,35.14
8.47,86.9,35.14
9.88,92.5,35.14
11.10,80.5,35.14
12.38,99.7,35.14
13.60,76.7,35.14
14.86,104.3,35.14
16.07,148.3,35.14
17.33,97.6,35.14
18.55,99.5,35.14
19.79,101.2,35.14
20.98,102.7,35.14
22.24,96.5,35.14
23.45,98.1,35.14
24.70,99.4,35.14
25.91,100.7,35.14
27.15,102.1,35.14
28.37,66.1,35.14
29.62,72.1,35.14
30.84,72.1,35.14
32.08,72.1,35.14
33.28,72.1,35.14
34.53,72.1,35.14
35.76,72.1,35.14
37.04,72.1,35.14
38.25,72.1,35.14
39.51,72.1,35.14
40.72,72.1,35.14
41.97,72.1,35.14
43.19,72.1,35.14
44.44,72.1,35.14
45.66,72.1,35.14
46.91,72.1,35.14
48.13,54.1,35.14
49.39,54.1,35.14
50.59,114.1,35.14
51.84,114.1,35.14
53.05,114.1,35.14
54.31,114.1,35.14
55.53,114.1,35.14
56.80,114.1,35.14
57.99,54.1,35.14
59.24,54.1,35.14
60.45,54.1,35.14
61.69,54.1,35.14
62.89,54.1,35.14
64.14,54.1,35.14
65.34,54.1,35.14
66.58,54.1,35.14
67.80,54.1,35.14
69.04,84.1,35.14
70.26,84.1,35.14
71.51,84.1,35.14
72.71,90.1,35.14
73.95,90.1,35.14
75.13,90.1,35.14
76.37,90.1,35.14
77.57,90.1,35.14
78.81,90.1,35.14
80.01,90.1,35.14
81.26,90.1,35.14
82.45,90.1,35.14
83.69,90.1,35.14
84.90,90.1,35.14
86.13,90.1,35.14
87.33,90.1,35.14
88.57,78.1,35.14
89.76,78.1,35.14
91.02,78.1,35.14
92.22,78.1,35.14
93.46,78.1,35.14
94.65,120.1,35.14
95.88,120.1,35.14
97.08,120.1,35.14
98.32,120.1,35.14
99.52,84.1,35.14
100.75,84.1,35.14
101.95,84.1,35.14
103.21,84.1,35.14
104.41,78.1,35.14
105.68,72.1,35.14
106.88,72.1,35.14
108.13,72.1,35.14
109.33,72.1,35.14
110.59,72.1,35.14
111.80,72.1,35.14
113.05,72.1,35.14
114.26,72.1,35.14
115.51,72.1,35.14
116.71,72.1,35.14
117.94,72.1,35.14
119.13,72.1,35.14
120.37,72.1,35.14
121.56,72.1,35.14
122.80,72.1,35.14
124.01,72.1,35.14
125.27,72.1,35.14
126.49,72.1,35.14
127.75,72.1,35.14
128.95,72.1,35.14
130.21,54.1,35.14
131.40,54.1,35.14
132.66,54.1,35.14
133.85,60.1,35.14
135.08,60.1,35.14
136.28,60.1,35.14
137.51,60.1,35.14
138.70,60.1,35.14
139.93,60.1,35.14
141.12,60.1,35.14
142.38,60.1,35.14
143.57,60.1,35.14
144.80,66.1,35.14
146.00,66.1,35.14
147.23,66.1,35.14
148.43,66.1,35.14
149.67,72.1,35.14
150.87,54.1,35.14
152.11,54.1,35.14
153.32,54.1,35.14
154.57,54.1,35.14
155.77,54.1,35.14
157.01,54.1,35.14
158.22,54.1,35.14
159.46,54.1,35.14
160.66,54.1,35.14
161.91,60.1,35.14
163.11,60.1,35.14
164.35,60.1,35.14
165.55,60.1,35.14
166.77,60.1,35.14
167.97,66.1,35.14
169.21,66.1,35.14
170.41,66.1,35.14
171.64,66.1,35.14
172.84,66.1,35.14
174.07,72.1,35.14
175.25,72.1,35.14
176.48,72.1,35.14
177.68,72.1,35.14
178.90,72.1,35.14
180.08,72.1,35.14
181.31,114.1,35.14
182.48,114.1,35.14
183.71,120.1,35.14
184.89,120.1,35.14
186.13,120.1,35.14
187.34,120.1,35.14
188.58,120.1,35.14
189.78,120.1,35.14
191.02,120.1,35.14
192.22,120.1,35.14
193.45,90.1,35.14
194.63,90.1,35.14
195.87,60.1,35.14
197.06,60.1,35.14
198.28,60.1,35.14
199.47,60.1,35.14
200.73,60.1,35.14
201.92,60.1,35.14
203.15,60.1,35.14
204.34,60.1,35.14
205.56,60.1,35.14
206.75,60.1,35.14
207.98,60.1,35.14
209.17,60.1,35.14
210.41,60.1,35.14
211.61,60.1,35.14
212.86,60.1,35.14
214.06,60.1,35.14
215.30,108.1,35.14
216.49,54.1,35.14
217.72,54.1,35.14
218.92,54.1,35.14
220.16,54.1,35.14
221.35,54.1,35.14
222.58,60.1,35.14
223.76,66.1,35.14
225.00,66.1,35.14
226.20,66.1,35.14
227.44,66.1,35.14
228.63,66.1,35.14
229.87,66.1,35.14
231.06,66.1,35.14
232.28,66.1,35.14
233.45,66.1,35.14
234.67,60.1,35.14
235.84,60.1,35.14
237.05,60.1,35.14
238.24,60.1,35.14
239.49,60.1,35.14
240.70,60.1,35.14
241.94,60.1,35.14
243.12,60.1,35.14
244.34,60.1,35.14
245.53,60.1,35.14
246.75,60.1,35.14
247.94,54.1,35.14
249.21,54.1,35.14
250.42,54.1,35.14
251.66,54.1,35.14
252.89,54.1,35.14
254.16,54.1,35.14
255.36,72.1,35.14
256.61,72.1,35.14
257.82,72.1,35.14
259.08,72.1,35.14
260.30,72.1,35.14
261.56,72.1,35.14
262.80,72.1,35.14
264.06,66.1,35.14
265.28,66.1,35.14
266.55,66.1,35.14
267.76,84.1,35.14
269.02,84.1,35.14
